Video Name,Serial Num,Frame Start,Frame End, Frame Difference,Frame Time Difference (ms)
ADS HG,0,423,448,25,104
ADS HG,1,684,709,25,104
ADS HG,2,958,980,22,91
ADS HG,3,1227,1252,25,104
ADS HG,4,1496,1520,24,100
ADS HG,5,1766,1792,26,108
ADS HG,6,2046,2071,25,104
ADS HG,7,2324,2347,23,95
ADS HG,8,2596,2619,23,95
ADS HG,9,2875,2898,23,95
ADS HG,10,3144,3170,26,108
ADS HG,11,3418,3442,24,100
ADS HG,12,3685,3710,25,104
ADS HG,13,3952,3977,25,104
ADS HG,14,4233,4257,24,100
ADS HG,15,4490,4513,23,95
ADS HG,16,4774,4801,27,112
ADS HG,17,5054,5080,26,108
Camera Right,18,391,409,18,75
Camera Right,19,758,777,19,79
Camera Right,20,1014,1033,19,79
Camera Right,21,1248,1268,20,83
Camera Right,22,1515,1536,21,87
Camera Right,23,1747,1768,21,87
Camera Right,24,1996,2015,19,79
Camera Right,25,2307,2327,20,83
Camera Right,26,2590,2611,21,87
Camera Right,27,2880,2899,19,79
Camera Right,28,3173,3191,18,75
Camera Right,29,3448,3466,18,75
Camera Right,30,3708,3729,21,87
Camera Right,31,3999,4018,19,79
Camera Right,32,4240,4258,18,75
Camera Right,33,4480,4498,18,75
Camera Right,34,4765,4785,20,83
Camera Right,35,5019,5037,18,75
Camera Right,36,5265,5284,19,79
Camera Right,37,5512,5532,20,83
Camera Right,38,5751,5772,21,87
Camera Right,39,5962,5980,18,75
Camera Right,40,6205,6224,19,79
Camera Right,41,6410,6428,18,75
Camera Right,42,6625,6643,18,75
crouch,43,502,558,56,233
crouch,44,875,930,55,229
crouch,45,1321,1373,52,216
crouch,46,1629,1689,60,250
crouch,47,2084,2141,57,237
crouch,48,2449,2509,60,250
crouch,49,2871,2932,61,254
crouch,50,3215,3276,61,254
crouch,51,3618,3679,61,254
crouch,52,3994,4059,65,270
crouch,53,4406,4463,57,237
crouch,54,4752,4810,58,241
crouch,55,5119,5174,55,229
crouch,56,5496,5553,57,237
crouch,57,5881,5945,64,266
crouch,58,6272,6328,56,233
crouch,59,6645,6708,63,262
crouch,60,7091,7148,57,237
crouch,61,7463,7523,60,250
crouch,62,7824,7879,55,229
crouch,63,8058,8111,53,220
crouch,64,8301,8350,49,204
crouch,65,8526,8574,48,200
crouch,66,8743,8790,47,195
crouch,67,8988,9030,42,175
crouch,68,9239,9285,46,191
crouch,69,9472,9521,49,204
crouch,70,9689,9737,48,200
crouch,71,9911,9961,50,208
crouch,72,10122,10173,51,212
crouch,73,10383,10433,50,208
crouch,74,10607,10656,49,204
crouch,75,10851,10900,49,204
crouch,76,11076,11128,52,216
Melee,77,484,501,17,70
Melee,78,835,852,17,70
Melee,79,1926,1946,20,83
Melee,80,2085,2110,25,104
Melee,81,2357,2379,22,91
Melee,82,2952,2971,19,79
Melee,83,3366,3386,20,83
Melee,84,3746,3766,20,83
Melee,85,4123,4141,18,75
Melee,86,4499,4517,18,75
Melee,87,4841,4861,20,83
Melee,88,5214,5232,18,75
Melee,89,5571,5588,17,70
Melee,90,5927,5944,17,70
Melee,91,6266,6283,17,70
Melee,92,6616,6635,19,79
Melee,93,6953,6971,18,75
Melee,94,7243,7262,19,79
Melee,95,7567,7586,19,79
Melee,96,7888,7906,18,75
Melee,97,8242,8261,19,79
prone,98,402,473,71,295
prone,99,829,904,75,312
prone,100,1271,1340,69,287
prone,101,1625,1695,70,291
prone,102,1978,2051,73,304
prone,103,2363,2435,72,300
prone,104,2709,2779,70,291
prone,105,3059,3134,75,312
prone,106,3405,3474,69,287
prone,107,3747,3818,71,295
prone,108,4070,4145,75,312
prone,109,4408,4477,69,287
prone,110,4757,4829,72,300
prone,111,5086,5156,70,291
prone,112,5411,5480,69,287
prone,113,5728,5796,68,283
prone,114,6045,6115,70,291
prone,115,6373,6447,74,308
prone,116,6720,6791,71,295
prone,117,7049,7119,70,291
prone,118,7396,7470,74,308
prone,119,7760,7834,74,308
prone,120,8120,8194,74,308
prone,121,8532,8605,73,304
prone,122,8892,8965,73,304
prone,123,9258,9332,74,308
prone,124,9596,9668,72,300
prone,125,9952,10024,72,300
prone,126,10279,10351,72,300
prone,127,10645,10714,69,287
Reload HG,128,2171,2223,52,216
Reload HG,129,2878,2934,56,233
Reload HG,130,3497,3554,57,237
Reload HG,131,4080,4129,49,204
Reload HG,132,4628,4688,60,250
Reload HG,133,5171,5232,61,254
Reload HG,134,5749,5803,54,225
Reload HG,135,6327,6379,52,216
Reload HG,136,6878,6934,56,233
Reload HG,137,7442,7502,60,250
Reload HG,138,8056,8117,61,254
Reload HG,139,8642,8693,51,212
Reload HG,140,9287,9340,53,220
Reload HG,141,9896,9951,55,229
Reload HG,142,10475,10523,48,200
Shoot AR,143,498,506,8,33
Shoot AR,144,831,842,11,45
Shoot AR,145,1232,1246,14,58
Shoot AR,146,1642,1654,12,50
Shoot AR,147,2038,2045,7,29
Shoot AR,148,2513,2529,16,66
Shoot AR,149,2939,2952,13,54
Shoot AR,150,3367,3380,13,54
Shoot AR,151,4435,4452,17,70
Shoot AR,152,5529,5543,14,58
Shoot AR,153,5923,5938,15,62
Shoot AR,154,6353,6366,13,54
Shoot AR,155,6752,6766,14,58
Shoot AR,156,7152,7169,17,70
Shoot AR,157,7520,7533,13,54
Shoot AR,158,7879,7893,14,58
Shoot AR,159,8278,8292,14,58
Shoot AR,160,8659,8676,17,70
Shoot AR,161,9029,9043,14,58
Shoot AR,162,9393,9408,15,62
Shoot AR,163,9765,9779,14,58
Shoot AR,164,10154,10167,13,54
Shoot AR,165,10545,10559,14,58
Shoot AR,166,10895,10910,15,62
Shoot HG,167,427,441,14,58
Shoot HG,168,957,972,15,62
Shoot HG,169,1238,1252,14,58
Shoot HG,170,1717,1732,15,62
Shoot HG,171,1934,1948,14,58
Shoot HG,172,2120,2135,15,62
Shoot HG,173,2323,2339,16,66
Shoot HG,174,2534,2551,17,70
Shoot HG,175,2743,2759,16,66
Shoot HG,176,3295,3310,15,62
Shoot HG,177,3506,3522,16,66
Shoot HG,178,3710,3726,16,66
Shoot HG,179,3916,3934,18,75
Shoot HG,180,4120,4138,18,75
Shoot HG,181,4320,4334,14,58
Shoot HG,182,4522,4538,16,66
Shoot HG,183,4720,4734,14,58
Shoot HG,184,5346,5362,16,66
Shoot HG,185,5546,5561,15,62
Shoot HG,186,5743,5757,14,58
Shoot HG,187,5932,5949,17,70
Shoot HG,188,6112,6129,17,70
Shoot HG,189,6293,6309,16,66
Shoot HG,190,6465,6480,15,62
Shoot LMG,191,334,348,14,58
Shoot LMG,192,701,716,15,62
Shoot LMG,193,1021,1035,14,58
Shoot LMG,194,1301,1315,14,58
Shoot LMG,195,1536,1551,15,62
Shoot LMG,196,1764,1779,15,62
Shoot LMG,197,1975,1990,15,62
Shoot LMG,198,2184,2199,15,62
Shoot LMG,199,2371,2386,15,62
Shoot LMG,200,2551,2566,15,62
Shoot LMG,201,2730,2746,16,66
Shoot LMG,202,2904,2918,14,58
Shoot LMG,203,3091,3106,15,62
Shoot LMG,204,3270,3285,15,62
Shoot LMG,205,3445,3457,12,50
Shoot LMG,206,3619,3634,15,62
Shoot LMG,207,3785,3801,16,66
Shoot LMG,208,3946,3960,14,58
Shoot LMG,209,4230,4248,18,75
Shoot LMG,210,4569,4584,15,62
Shoot LMG,211,4868,4884,16,66
Shoot LMG,212,5144,5159,15,62
Shoot LMG,213,5428,5443,15,62
Shoot LMG,214,5686,5699,13,54
Shoot LMG,215,6009,6027,18,75
Shoot LMG,216,6311,6326,15,62
Shoot LMG,217,6606,6622,16,66
Shoot LMG,218,6868,6882,14,58
Shoot LMG,219,7130,7146,16,66
Shoot LMG,220,7402,7418,16,66
Shoot LMG,221,7661,7677,16,66
Walk Back,222,526,553,27,112
Walk Back,223,779,809,30,125
Walk Back,224,1025,1056,31,129
Walk Back,225,1285,1313,28,116
Walk Back,226,1546,1576,30,125
Walk Back,227,1792,1820,28,116
Walk Back,228,2046,2076,30,125
Walk Back,229,2317,2348,31,129
Walk Back,230,2568,2595,27,112
Walk Back,231,2834,2862,28,116
Walk Back,232,3069,3099,30,125
Walk Back,233,3308,3337,29,120
Walk Back,234,3562,3590,28,116
Walk Back,235,3816,3849,33,137
Walk Back,236,4069,4098,29,120
Walk Back,237,4300,4330,30,125
Walk Back,238,4555,4581,26,108
Walk Back,239,4786,4813,27,112
Walk Back,240,5031,5061,30,125
Walk Back,241,5287,5317,30,125
